Seed: 19910569 	Score: 0.779661 	Run time: 11.453844
Seed: 19910570 	Score: 0.819549 	Run time: 3.446480
Seed: 19910571 	Score: 0.745370 	Run time: 2.765102
Seed: 19910572 	Score: 0.738095 	Run time: 0.120616
Seed: 19910573 	Score: 0.785088 	Run time: 1.017272
Seed: 19910574 	Score: 0.517544 	Run time: 0.408791
Seed: 19910575 	Score: 0.792593 	Run time: 2.778166
Seed: 19910576 	Score: 0.789720 	Run time: 1.385490
Seed: 19910577 	Score: 0.809836 	Run time: 13.094082
Seed: 19910578 	Score: 0.798658 	Run time: 1.526195
Seed: 19910579 	Score: 0.792453 	Run time: 0.645623
Seed: 19910580 	Score: 0.794521 	Run time: 0.425301
Seed: 19910581 	Score: 0.810000 	Run time: 14.824228
Seed: 19910582 	Score: 0.804348 	Run time: 1.494648
Seed: 19910583 	Score: 0.770588 	Run time: 4.218878
Seed: 19910584 	Score: 0.454545 	Run time: 0.059542
Seed: 19910585 	Score: 0.768340 	Run time: 10.565811
Seed: 19910586 	Score: 0.783088 	Run time: 1.135842
Seed: 19910587 	Score: 0.799320 	Run time: 3.047470
Seed: 19910588 	Score: 0.777778 	Run time: 0.023017
Seed: 19910589 	Score: 0.788235 	Run time: 1.310455
Seed: 19910590 	Score: 0.675000 	Run time: 0.079056
Seed: 19910591 	Score: 0.804348 	Run time: 3.012418
Seed: 19910592 	Score: 0.838235 	Run time: 0.470470
Seed: 19910593 	Score: 0.695946 	Run time: 0.501357
Seed: 19910594 	Score: 0.839623 	Run time: 0.464330
Seed: 19910595 	Score: 0.778523 	Run time: 3.154797
Seed: 19910596 	Score: 0.760417 	Run time: 0.145651
Seed: 19910597 	Score: 0.750000 	Run time: 0.083063
Seed: 19910598 	Score: 0.838768 	Run time: 14.292544
Seed: 19910599 	Score: 0.883333 	Run time: 1.748387
Seed: 19910600 	Score: 0.778912 	Run time: 14.462362
Seed: 19910601 	Score: 0.647321 	Run time: 1.358523
Seed: 19910602 	Score: 0.791958 	Run time: 19.050486
Seed: 19910603 	Score: 0.783784 	Run time: 0.191645
Seed: 19910604 	Score: 0.736842 	Run time: 0.332289
Seed: 19910605 	Score: 0.797619 	Run time: 1.102913
Seed: 19910606 	Score: 0.717213 	Run time: 1.690000
Seed: 19910607 	Score: 0.810976 	Run time: 5.948867
Seed: 19910608 	Score: 0.700000 	Run time: 0.117133
Seed: 19910609 	Score: 0.738916 	Run time: 6.891108
Seed: 19910610 	Score: 0.784091 	Run time: 1.149432
Seed: 19910611 	Score: 0.688482 	Run time: 7.293886
Seed: 19910612 	Score: 0.683333 	Run time: 0.151607
Seed: 19910613 	Score: 0.851852 	Run time: 0.150606
Seed: 19910614 	Score: 0.853659 	Run time: 1.671753
Seed: 19910615 	Score: 0.840000 	Run time: 1.207413
Seed: 19910616 	Score: 0.800000 	Run time: 0.190134
Seed: 19910617 	Score: 0.772727 	Run time: 0.609433
Seed: 19910618 	Score: 0.693878 	Run time: 7.773822
Seed: 19910619 	Score: 0.820833 	Run time: 1.842927
Seed: 19910620 	Score: 0.666667 	Run time: 0.012509
Seed: 19910621 	Score: 0.787129 	Run time: 0.557470
Seed: 19910622 	Score: 0.773810 	Run time: 4.097767
Seed: 19910623 	Score: 0.687500 	Run time: 0.471372
Seed: 19910624 	Score: 0.807692 	Run time: 0.030020
Seed: 19910625 	Score: 0.737624 	Run time: 1.744241
Seed: 19910626 	Score: 0.756098 	Run time: 3.635091
Seed: 19910627 	Score: 0.725610 	Run time: 3.598740
Seed: 19910628 	Score: 0.710084 	Run time: 1.292928
Seed: 19910629 	Score: 0.727273 	Run time: 0.107079
Seed: 19910630 	Score: 0.867925 	Run time: 0.320337
Seed: 19910631 	Score: 0.800000 	Run time: 0.380770
Seed: 19910632 	Score: 0.830645 	Run time: 5.360276
Seed: 19910633 	Score: 0.747475 	Run time: 2.259316
Seed: 19910634 	Score: 0.517857 	Run time: 0.070550
Seed: 19910635 	Score: 0.868421 	Run time: 0.426850
Seed: 19910636 	Score: 0.843750 	Run time: 7.636877
Seed: 19910637 	Score: 0.761084 	Run time: 6.233626
Seed: 19910638 	Score: 0.725806 	Run time: 1.824302
Seed: 19910639 	Score: 0.813725 	Run time: 0.610487
Seed: 19910640 	Score: 0.810606 	Run time: 1.557246
Seed: 19910641 	Score: 0.858108 	Run time: 3.256976
Seed: 19910642 	Score: 0.636364 	Run time: 0.422320
Seed: 19910643 	Score: 0.639535 	Run time: 0.224173
Seed: 19910644 	Score: 0.797674 	Run time: 7.165379
Seed: 19910645 	Score: 0.783019 	Run time: 0.241220
Seed: 19910646 	Score: 0.778547 	Run time: 12.455786
Seed: 19910647 	Score: 0.732143 	Run time: 0.518369
Seed: 19910648 	Score: 0.793103 	Run time: 2.824176
Seed: 19910649 	Score: 0.826667 	Run time: 1.105324
Seed: 19910650 	Score: 0.833333 	Run time: 1.078771
Seed: 19910651 	Score: 0.700651 	Run time: 19.109747
Seed: 19910652 	Score: 0.700000 	Run time: 0.289705
Seed: 19910653 	Score: 0.653846 	Run time: 0.039086
Seed: 19910654 	Score: 0.685139 	Run time: 11.940320
Seed: 19910655 	Score: 0.640625 	Run time: 0.105104
Seed: 19910656 	Score: 0.656250 	Run time: 3.708862
Seed: 19910657 	Score: 0.780303 	Run time: 4.721525
Seed: 19910658 	Score: 0.627660 	Run time: 4.096142
Seed: 19910659 	Score: 0.788194 	Run time: 5.761817
Seed: 19910660 	Score: 0.818182 	Run time: 1.000778
Seed: 19910661 	Score: 0.763415 	Run time: 11.301300
Seed: 19910662 	Score: 0.830882 	Run time: 0.727630
Seed: 19910663 	Score: 0.785714 	Run time: 0.210159
Seed: 19910664 	Score: 0.810811 	Run time: 0.558397
Seed: 19910665 	Score: 0.836879 	Run time: 2.211194
Seed: 19910666 	Score: 0.786458 	Run time: 0.959781
Seed: 19910667 	Score: 0.660714 	Run time: 0.203644
Seed: 19910668 	Score: 0.808362 	Run time: 17.210285
Seed: 19910669 	Score: 0.714286 	Run time: 0.130593
Seed: 19910670 	Score: 0.770677 	Run time: 3.676323
Seed: 19910671 	Score: 0.732394 	Run time: 1.224399
Seed: 19910672 	Score: 0.681818 	Run time: 0.123590
Seed: 19910673 	Score: 0.781609 	Run time: 0.652587
Seed: 19910674 	Score: 0.694444 	Run time: 0.192636
Seed: 19910675 	Score: 0.787540 	Run time: 19.055040
Seed: 19910676 	Score: 0.642857 	Run time: 1.311988
Seed: 19910677 	Score: 0.741860 	Run time: 4.912215
Seed: 19910678 	Score: 0.814286 	Run time: 17.403009
Seed: 19910679 	Score: 0.831250 	Run time: 2.386814
Seed: 19910680 	Score: 0.782869 	Run time: 9.096051
Seed: 19910681 	Score: 0.829268 	Run time: 0.509862
Seed: 19910682 	Score: 0.810811 	Run time: 1.055333
Seed: 19910683 	Score: 0.776316 	Run time: 4.027630
Seed: 19910684 	Score: 0.723214 	Run time: 4.683466
Seed: 19910685 	Score: 0.792453 	Run time: 0.569415
Seed: 19910686 	Score: 0.714844 	Run time: 1.710295
Seed: 19910687 	Score: 0.785714 	Run time: 0.089068
Seed: 19910688 	Score: 0.685393 	Run time: 0.928160
Seed: 19910689 	Score: 0.833333 	Run time: 0.231200
Seed: 19910690 	Score: 0.798817 	Run time: 4.026889
